Region,Year,Broad Category,COFOG Division,COFOG Division Name,COFOG Basis,Original Code,Original Name (native language),English Translation,Commitment (EUR '000),Payment (EUR '000),Notes
Wallonia,2025,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",DO19,Finances,Finance,2143640,2145777,
Wallonia,2025,General Administration,01,General public services,"Approximated (Claude, Division-level only)",DO09,Services du Gouvernement,Government Services,207075,208325,
Wallonia,2025,General Administration,01,General public services,"Approximated (Claude, Division-level only)",DO10,Secrétariat général,Secretariat-General,732811,2274208,"Large engagement/liquidation gap both years is the Plan de relance (PRW/FRR) multi-year payment schedule, not an error."
Wallonia,2025,Government Cabinet(s),01,General public services,"Approximated (Claude, Division-level only)",DO02,Dépenses de cabinet,Ministerial cabinet expenses,28026,28026,
Wallonia,2025,Parliament/Legislature,01,General public services,"Approximated (Claude, Division-level only)",DO01,Parlement de Wallonie,Parliament of Wallonia,77437,77437,
Wallonia,2025,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",DO11,Support,Support Services,878890,888039,
Wallonia,2025,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",DO12,Digital,Digital,53854,55060,
Wallonia,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",DO18,"Entreprises, emploi, recherche","Enterprises, Employment, Research",3839169,3786351,
Wallonia,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",DO14,Mobilité et infrastructures,Mobility and Infrastructure,1915365,1649373,
Wallonia,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",DO15,"Agriculture, environnement","Agriculture, Environment",637038,604584,"BLENDED: division combines Agriculture (taxonomy bucket = Economy) with Environment. Not separable at division-level data; assigned to Environment, Housing & Energy as primary. | [COFOG] BLENDED: Agriculture (04.2) + Environment (05) bundled in one division-level line; primary = 05 Environmental protection."
Wallonia,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",DO16,"Aménagement, logement, énergie","Spatial Planning, Housing, Energy",772659,737149,[COFOG] BLENDED: Housing/spatial planning (06) + Energy (04.3) bundled; primary = 06 Housing and community amenities.
Wallonia,2025,Health & Social Welfare/Care,10,Social protection,"Approximated (Claude, Division-level only)",DO17,"Pouvoirs locaux, action sociale, santé","Local Authorities, Social Action, Health",9505694,9520100,BLENDED: division combines Local Authorities (taxonomy bucket = Local Governments & Home Affairs) with Social Action and Health. This is Wallonia's largest division (~45-48% of budget) and cannot be split without sub-division data. Assigned to Health & Social Welfare/Care as primary — treat cross-region 'Local Governments' comparisons involving Wallonia with caution. | [COFOG] BLENDED: Local-government transfers (01.8) + Social action (10) + Health (07) bundled in Wallonia's largest division; primary = 10 Social protection. Cannot be split further without sub-division data.
Wallonia,2025,Provisions/Other,XX,Unclassified / not allocable to a single division,"Approximated (Claude, Division-level only)",DO34,Provisions cofinancements 2014-2020,Co-financing Provisions 2014-2020,0,0,[COFOG] Co-financing reserve/provision — not allocable to a single COFOG division.
Wallonia,2025,Provisions/Other,XX,Unclassified / not allocable to a single division,"Approximated (Claude, Division-level only)",DO36,Provisions cofinancements 2021-2027,Co-financing Provisions 2021-2027,224791,57987,[COFOG] Co-financing reserve/provision — not allocable to a single COFOG division.
Wallonia,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",DO19,Finances,Finance,1981259,1987751,
Wallonia,2026,General Administration,01,General public services,"Approximated (Claude, Division-level only)",DO09,Services du Gouvernement,Government Services,211195,211177,
Wallonia,2026,General Administration,01,General public services,"Approximated (Claude, Division-level only)",DO10,Secrétariat général,Secretariat-General,443969,1411375,"Large engagement/liquidation gap both years is the Plan de relance (PRW/FRR) multi-year payment schedule, not an error."
Wallonia,2026,Government Cabinet(s),01,General public services,"Approximated (Claude, Division-level only)",DO02,Dépenses de cabinet,Ministerial cabinet expenses,28043,28043,
Wallonia,2026,Parliament/Legislature,01,General public services,"Approximated (Claude, Division-level only)",DO01,Parlement de Wallonie,Parliament of Wallonia,87404,87404,
Wallonia,2026,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",DO11,Support,Support Services,917542,918739,
Wallonia,2026,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",DO12,Digital,Digital,69049,69440,
Wallonia,2026,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",DO18,"Entreprises, emploi, recherche","Enterprises, Employment, Research",3832393,3655517,
Wallonia,2026,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",DO14,Mobilité et infrastructures,Mobility and Infrastructure,1851540,1661831,
Wallonia,2026,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",DO15,"Agriculture, environnement","Agriculture, Environment",619589,570184,"BLENDED: division combines Agriculture (taxonomy bucket = Economy) with Environment. Not separable at division-level data; assigned to Environment, Housing & Energy as primary. | [COFOG] BLENDED: Agriculture (04.2) + Environment (05) bundled in one division-level line; primary = 05 Environmental protection."
Wallonia,2026,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",DO16,"Aménagement, logement, énergie","Spatial Planning, Housing, Energy",847784,826586,[COFOG] BLENDED: Housing/spatial planning (06) + Energy (04.3) bundled; primary = 06 Housing and community amenities.
Wallonia,2026,Health & Social Welfare/Care,10,Social protection,"Approximated (Claude, Division-level only)",DO17,"Pouvoirs locaux, action sociale, santé","Local Authorities, Social Action, Health",10062999,9787761,BLENDED: division combines Local Authorities (taxonomy bucket = Local Governments & Home Affairs) with Social Action and Health. This is Wallonia's largest division (~45-48% of budget) and cannot be split without sub-division data. Assigned to Health & Social Welfare/Care as primary — treat cross-region 'Local Governments' comparisons involving Wallonia with caution. | [COFOG] BLENDED: Local-government transfers (01.8) + Social action (10) + Health (07) bundled in Wallonia's largest division; primary = 10 Social protection. Cannot be split further without sub-division data.
Wallonia,2026,Provisions/Other,XX,Unclassified / not allocable to a single division,"Approximated (Claude, Division-level only)",DO34,Provisions cofinancements 2014-2020,Co-financing Provisions 2014-2020,n/q — see Notes,n/q — see Notes,Not applicable this year (no allocation recorded). | [COFOG] Co-financing reserve/provision — not allocable to a single COFOG division.
Wallonia,2026,Provisions/Other,XX,Unclassified / not allocable to a single division,"Approximated (Claude, Division-level only)",DO36,Provisions cofinancements 2021-2027,Co-financing Provisions 2021-2027,223634,119940,[COFOG] Co-financing reserve/provision — not allocable to a single COFOG division.
Flanders,2025,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",CA,Apparaatskredieten,Operating credits (Finance & Budget administration),95834,96743,
Flanders,2025,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",CC,Budgettair beleid,Budgetary policy,608727,608727,
Flanders,2025,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",CD,Fiscaliteit,Taxation,1720868,1721368,
Flanders,2025,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",CE,Financiële operaties,Financial operations,4475284,5077694,[COFOG] Primarily debt/treasury operations (01.7); approximate.
Flanders,2025,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",CF,Boekhouding,Accounting,9556,10000,
Flanders,2025,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",SN,Buitenlands beleid,Foreign policy,9530,9530,
